lat,longi,address,typeOf,classOf
-23.522787,-46.490063,"JOSE SILVA ALCANTARA FILHO,R,1031",APOIO DIAGNOSTICO,APOIO DIAGNOSTICO
-23.659403,-46.743017,"LUIS ANTONIO VERNEY,R,98",APOIO DIAGNOSTICO,APOIO DIAGNOSTICO
-23.49283,-46.600559,"ORLANDO RIBEIRO DANTAS,R,154",APOIO DIAGNOSTICO,APOIO DIAGNOSTICO
-23.533676,-46.442459,"PAULINO SERQUEIRA,R,01",APOIO DIAGNOSTICO,APOIO DIAGNOSTICO
-23.553466,-46.579509,"SERRA DE JAIRE,R,1480",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.522008,-46.469079,"TANTAS PALAVRAS,R,59",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.542114,-46.500964,"ALVES MALDONADO,R,128",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.664546,-46.643606,"CIDADE DE SANTOS,R,46",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.488618,-46.758672,"MARCELA ALVES DE CASSIA,R,175",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.647799,-46.753702,TEREZA MAIA PINTO,ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.652993,-46.645012,"FRANCISCO DE PAULA QUINTANILHA RIBEIRO,AV,860",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.524329,-46.651352,"RIBEIRO DE ALMEIDA,R,14",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.504946,-46.520533,"CANGAIBA,AV,3722",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.673297,-46.773393,"SANTANA,COM,AV,774",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.579958,-46.404006,"CADERNO DE VIAGEM,R,55",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.695249,-46.65946,"CORREGO AZUL,R,433",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.554316,-46.464835,"FRANCISCO MUNHOZ F,DR,AV,379",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.441453,-46.734104,"TAIPAS,ESTRADA DE (ESQ. R PAULO ARENTINO)1648",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.523893,-46.63395,"R. PRATES, 1101",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.647281,-46.661825,"SANTA CATARINA,AV,1523",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.445946,-46.713901,"JOAO AMADO COUTINHO,R,400",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.49914,-46.472507,"RODRIGO DE BRUM,AL,1989",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.56454,-46.417847,"FRANCISCO CARDOSO JR,R,10",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.587114,-46.608202,"XAVIER DE ALMEIDA,R,210",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.651657,-46.63756,"ARMANDO DE ARRUDA PEREIRA,ENG,AV,2944",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.542382,-46.430727,"OSVALDO DE OLIVEIRA,PROF,AV,610",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.588139,-46.559831,"PLANALTO DA CONQUISTA,R,80",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.501684,-46.493347,"OLAVO EGIDIO SOUZA ARANHA,AV,630",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.621178,-46.509202,"BATISTA FERGUSIO,R,1016",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.571284,-46.589866,"VITOANTONIO DEL VECCHIO,R,151",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.587215,-46.608261,"XAVIER DE ALMEIDA,R,210",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.681333,-46.738671,"DINAR,R,51",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.685234,-46.769257,"GUAVIRITUBA,ESTR,49",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.485505,-46.576336,"FRANCISCO PEIXOTO BIZERRA,R,400",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.55433,-46.491506,"OSVALDO VALLE CORDEIRO,AV,245",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.771107,-46.712124,"PLEIADES,DAS,R,S/N",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.511853,-46.408536,"CRESCENTE,R,97",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.73048,-46.789576,"PAIVA MANSO,DE,BR,R,200",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.741988,-46.686264,"JOAO PAULO BARRETO,R,131",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.608385,-46.452307,"SOMOS TODOS IGUAIS,R, 330",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.603342,-46.429597,"BENTO GUELFI, AV,1100",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.494881,-46.379916,"JOSE DA CRUZ CAMARGO,R,174",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.455938,-46.685406,"REMULO NALDI,R,1",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.529885,-46.421214,"MANOEL TEODORO XAVIER,R,138",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.59157,-46.515914,"PEDRO DE CASTRO VELHO,R,523",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.478599,-46.419176,"KUMAKI AOKI,AV,785",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.743565,-46.704938,"ROQUE DO PARAGUASSU,R,190",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.445919,-46.748695,"PEDRO RAVARA,R,11A",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.559758,-46.509798,"COSTEIRA,R,572",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.448567,-46.595741,"ADALTO BEZERRA DELGADO,R,240",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.460263,-46.673017,"JOSE DA COSTA GAVIAO,R,150",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.678053,-46.643925,"SANTO AFONSO,AV,419",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.771089,-46.695932,"JUVENAL HUDSON FERREIRA,DR,R,13",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.510992,-46.383921,"ITAJUIBE,R,1910",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.531063,-46.47907,"NICOLO TARTAGLIA,R,45",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.462876,-46.702491,"ENCRUZILHADA DO SUL,R, 220",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.586132,-46.731959,"JOAO GUERRA,R,247",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.463714,-46.654242,"PERI RONCHETTI,AV,914",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.630816,-46.766027,"AMADEU DA SILVA SAMELO,R,423",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.487081,-46.391501,"RIO MANOEL ALVES,R,57",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.592156,-46.78327,"ANGELO APARECIDO DOS SANTOS DIAS,R,331",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.659403,-46.743017,"LUIS ANTONIO VERNEY,R,98",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.631626,-46.442705,"MIGUEL FERREIRA DE MELO,AV,497",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.518051,-46.491812,"BRENO ACIOLI,R,440",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.673525,-46.658855,"LUIS VIVES,R,85",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.499804,-46.516773,"AUGUSTO CORREIA LEITE,R,538",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.484117,-46.727089,"MENOTTI LAUDIZIO,AV,100",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.565202,-46.398396,"UTARO KANAI,R,286",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.474762,-46.64134,"VALORBE,R,80",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.540016,-46.438874,"SILVIO BARBINI,R,40",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.544372,-46.486454,"FRANCISCO DE TOLEDO,PE,AV,545",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.486165,-46.655108,"OSCAR DE MOURA LACERDA,ENG,R,231",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.517253,-46.505721,"JAMES TORRES,AV,600",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.526151,-46.550415,"GERMANO,FREI,R,50",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.598225,-46.494531,"ENGENHO NOVO,AV,120",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.526871,-46.435159,"IBIAJARA,R,804",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.617574,-46.718678,"SILVEIRA SAMPAIO,R,660",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.829632,-46.726602,"MARIO TRAPE,R,100",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.525505,-46.620487,"OLARIAS,DAS,R,503",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.601401,-46.794837,"VATICANO,AV,69",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.408918,-46.756881,"JOAO GONCALVES DE LIMA,VIG,PCA,239",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.430851,-46.787208,"ANHANGUERA,ROD KM 24,5/PIERRE RENOIR,100",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.648697,-46.609987,"FRANCOIS BUNEL,R,194",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.696777,-46.647972,"ANIQUIS,DOS,R,3",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.675312,-46.791828,"ERNESTO SOARES FILHO,R,301",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.679004,-46.748702,"DANIEL KLEIN,R,211",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.488279,-46.737725,"ANASTACIO,DO,AV (ESQ. R WILLIS ROBERTO BANKS) 2421",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.698944,-46.783715,"PORTA DO PRADO,R,18",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.486749,-46.431785,"SILVEIRA PIRES,R,265",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.656634,-46.755453,"MANUEL BORDALO PINHEIRO,R,100",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.63087,-46.457302,"BANDEIRA DO ARACAMBI,S/N",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.61334,-46.593417,"ESTRADA DAS LAGRIMAS,1404",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.598259,-46.639208,"PEDRO DE TOLEDO,R,309",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.5564,-46.459987,"CACHOEIRA DA ILHA,R,71",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.611267,-46.492813,"JOAO LOPES DE LIMA,R,1151",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.509507,-46.446369,"MARIA SANTANA,AV,101",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.523667,-46.700788,"CATAO,R,380",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.531961,-46.56583,"SIRIA,R,95",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.496403,-46.440472,"ANTONIO GAMA DE CERQUEIRA,PROF,R,647",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.572685,-46.515396,"JOAO DE OLIVEIRA MELLO,CEL,R,440",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.504804,-46.670111,"MANDAQUI,AV,197",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.604588,-46.554629,"SAO JANUARIO,DE,CDE,PCA,91",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.549185,-46.448219,"IPOPOCA,R,61",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.552513,-46.524187,"JACI BARBOSA,DR,R,280",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.670825,-46.642993,"ROLANDO CURTIS,R,701",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.579027,-46.527859,"TERESINHA,R,123",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.515717,-46.605055,"JOAO VENTURA BATISTA,R,615",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.677002,-46.651288,"CATARINA GABRIELLI,R,150",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.491895,-46.584769,"EURICO SODRE,R,353",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.688526,-46.649178,"RAINHA DAS MISSOES,R,515",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.633637,-46.61194,"GIOVANNI DI BALBUCCIO,R,250",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.54242,-46.74426,"SALATIEL DE CAMPOS,R,222",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.573518,-46.55862,"JOAO FIALHO DE CARVALHO,R,35",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.494362,-46.684871,"FRANCISCO LOTUFO,R,24",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.487266,-46.713005,"MANUEL D'ELBOUX,D,R,76",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.501676,-46.760927,"CAMILO CASTELO BRANCO,R,10",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.597378,-46.734262,"ABRAHAO CALIL REZEK,R,91",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.490014,-46.503551,"BELEM SANTOS,R,8",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.530664,-46.444301,"AUGUSTO CARLOS BAUMANN,R,1074",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.468318,-46.60283,"PAULO CESAR,R,60",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.513062,-46.531425,"MERCEDES LOPES,R,989",ASSISTENCIA MEDICA AMBULATORIAL,URGENCIA/EMERGENCIA
-23.551437,-46.598099,"TAQUARI, R., 549",ASSOCIACAO DE PAIS E  AMIGOS EXCEPCIONAIS,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
-23.510889,-46.622368,"ZAKI NARCHI, AV., 357",ASSOCIACAO DE PAIS E  AMIGOS EXCEPCIONAIS,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
-23.688341,-46.688077,"MIGUEL YUNES, AV.,491",ASSOCIACAO DE PAIS E  AMIGOS EXCEPCIONAIS,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
-23.599277,-46.645292,"LOEFGREEN,R,2109",ASSOCIACAO DE PAIS E  AMIGOS EXCEPCIONAIS,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
-23.603574,-46.532173,"JOSE DAS ESPINHARAS,S,R,400",CASA DO PARTO,AMBULATORIOS ESPECIALIZADOS
-23.773889,-46.700505,"CARUANENSE,R,186",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.467198,-46.657993,"SETE DE DEZEMBRO,R,72",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.693887,-46.660855,"JOAO DO LAGO,R, 228",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.567088,-46.479007,"AQUINO FONSECA,R,117",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.646358,-46.636324,"ONZE DE FEVEREIRO,R,318",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.495579,-46.698479,"MANUEL MADRUGA,R,129",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.544386,-46.415442,"EVALDO CALABREZ, R,205",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.607027,-46.600711,"SAVA,R, 44",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.497983,-46.403865,"ILHA DE S+O FRANCISCO,R,155",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.554231,-46.434016,"BERNARDINO PRUDENTE,R,86",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.531256,-46.720089,"BERGSON,R, 52",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.701368,-46.746442,"ALTO DA PADILHA,R,3972",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.550412,-46.59731,"TAQUARI,R,549",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.824279,-46.730615,"ALESSANDRO BURI,R,15",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.538952,-46.528075,"HERCIILIA,R,452",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.400609,-46.751136,"ANTONIO DE PADUA DIAS,R,602",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.610915,-46.477029,"ERNESTO MANOGRASSO,R,133",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.496552,-46.626335,"MOREIRA DE BARROS,CONS,R,120",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.657106,-46.703567,"IGUATINGA,R,134",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.506412,-46.470341,"MIGUEL DE OLIVEIRA,R,195",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.61881,-46.505087,"DAVID DE MELO LOPES,R,86",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
-23.550525,-46.627859,"FREDERICO ALVARENGA,R,259",CENTRO DE ATENCAO  PSICOSSOCIAL INFANTIL,SAUDE MENTAL
